Name,Type,Downloads
Kenyon College,Education,1936
Chinese Academy of Social Sciences,Education,49
Stanford University,Education,42
University of Maryland,Education,28
Taiwan Academic Network,Education,27
Stichting Duwo,Commercial,22
New York University,Education,22
University of Florida,Education,20
University of Arizona,Education,19
Aalto University,Education,19
Universiteit van Amsterdam,Education,17
Moec,Government,17
Oxford University,Education,17
Princeton University,Education,16
Fundacao Para a Ciencia e a Tecnologia I.P.,Government,15
Columbia University,Education,15
University of California Los Angeles,Education,15
NUS,Education,15
Carnegie Mellon University,Education,15
University of Warwick,Education,15
NTU,Education,14
The University of Edinburgh,Education,14
University of North Carolina at Chapel Hill,Education,13
City University of Hong Kong,Education,13
The University of Melbourne,Education,13
China Education and Research Network,Education,13
University of Toronto,Education,13
University of California at Berkeley,Education,13
Ohio State University,Education,13
University of Wisconsin Madison,Education,13
University of Washington,Education,12
Massachusetts Institute of Technology,Education,12
The University of Hong Kong,Education,12
University of Pennsylvania,Education,12
Amazon Corporate LLC,Commercial,11
Brown University,Education,11
University of California Santa Barbara,Education,11
Montgomery County Public Schools,Education,11
Georgia Department of Education,Education,10
Rice University,Education,10
University of Notre Dame,Education,10
University of North Texas,Education,10
Oakland Schools,Education,10
University of Wollongong,Education,10
Erasmus Universiteit Rotterdam,Education,10
Fastbee Argentina S.A.,Commercial,10
Yale University,Education,10
Duke University,Education,10
Brigham Young University,Education,10
University of Durham,Education,10
The Pennsylvania State University,Education,9
University of California San Diego,Education,9
University of California Irvine,Education,9
Denison University,Education,9
Claremont University Consortium,Education,9
Universiteit Utrecht,Education,9
University of Mary Washington,Education,9
Korean Education Network,Education,9
Crowne Plaza Dallas,Commercial,9
University of Michigan,Education,9
Northeastern University,Education,9
University of Cambridge,Education,9
Seoul National University,Education,9
University of British Columbia,Education,8
University of Southern California,Education,8
Harvard University,Education,8
Northwestern University,Education,8
"King's College London",Education,8
Imperial College London,Education,8
Norwegian University of Science and Technology,Education,8
Education Service Center Region,Education,8
Korea University,Education,8
Korea Advanced Institute of Science and Technology,Education,8
The Hong Kong Polytechnic University,Education,8
Universitaire Instelling Antwerpen - Campus Net,Education,8
Celanese International Corporation,Commercial,8
Hochschule Rheinmain University of Applied Sciences Wiesbaden Ruesselsheim Geisenheim,Education,8
University of Mount Olive,Education,8
The University of Manchester,Education,8
Deutsche Glasfaser Wholesale GmbH,Commercial,8
Georgia Institute of Technology,Education,8
University College Dublin,Education,8
University of Oregon,Education,8
University of Illinois,Education,7
University of Virginia,Education,7
Technische Universitaet Dortmund,Education,7
London Grid for Learning Trust,Education,7
Ministry of Education Computer Center,Education,7
Monash University,Education,7
Consortium GARR,Education,7
T-Mobile Netherlands B.V.,Commercial,7
University of Oxford,Education,7
Technische Universiteit Eindhoven,Education,7
Danmarks Tekniske Universitet,Education,7
The Bloomsbury Computing Consortium,Education,7
Gottfried Wilhelm Leibniz Universitaet Hannover,Education,6
University of Southampton,Education,6
University of Leeds,Education,6
Indian Institute of Technology Kharagpur India,Education,6
York University,Education,6
Universiteit Maastricht,Education,6
Orange County Public Schools,Education,6
Northwest Regional ESD,Education,6
"Saint John's University - College of Saint Benedict",Education,6
Oracle Corporation,Commercial,6
University of Newcastle Australia - Callaghan Campus,Education,6
Durham College of Applied Arts and Technology,Education,6
Silicon Graphics International Corp.,Commercial,6
Yeungnam University,Education,6
Boston College,Education,6
University of Bath,Education,6
Universite Libre de Bruxelles,Education,6
Intinform Ltd.,Commercial,6
Muhlenberg College,Education,6
"ecoles des Mines d'Ales - Site Nimes",Commercial,6
Luch LLC,Commercial,6
"Universita' degli Studi di Genova",Commercial,6
Research Organization of Information and Systems National Institute of Informatics,Education,6
Queensland University of Technology,Education,6
Aofei Data International Company Limited,Commercial,6
EMV Internet Consultants SRL,Commercial,6
Simon Fraser University,Education,6
Clark County School District,Education,6
Macomb Intermediate School District,Education,6
State University of New York at Stony Brook,Education,5
Intel Corporation,Commercial,5
Florida State University,Education,5
Universitaet zu Koeln,Education,5
California State University Office of the Chancellor,Education,5
Universidade Estadual Paulista,Education,5
University of Georgia,Education,5
University of Iowa,Education,5
Emory University,Education,5
University of Illinois at Chicago,Education,5
Dartmouth College,Education,5
Liverpool John Moores University,Education,5
Boston University,Education,5
University of South Carolina,Education,5
University of Alberta,Education,5
DePaul University,Education,5
University of Maryland Baltimore County,Education,5
University of Connecticut,Education,5
Birmingham-Southern College,Education,5
Universitaet Bremen,Education,5
Kent Intermediate School District,Education,5
University of Liverpool,Education,5
Univer,Commercial,5
University of Technology Sydney,Education,5
Symantec Corporation,Commercial,5
University of Exeter,Education,5
University of Sydney,Education,5
University of Adelaide,Education,5
Stowe Access LLC,Commercial,5
CNA - Catholic Education Network,Organization,5
Microsoft Singapore Pte. Ltd.,Commercial,5
Hogeschool van Utrecht,Commercial,5
Zhejiang University,Education,5
RWTH Aachen University,Education,5
Microsoft Limited,Commercial,5
Kate Spade & Company,Commercial,5
Radboud Universiteit Nijmegen,Education,5
Celestica International Inc,Commercial,5
Rijksuniversiteit Groningen,Education,5
Friedrich-Alexander-Universitaet Erlangen-Nuernberg,Education,5
Bhartiya Net,Commercial,5
Alibaba.com Singapore E-Commerce Private Limited,Commercial,5
Datadigest B.V.,Commercial,5
Icon Ltd,Commercial,5
SamsungSDS Inc.,Commercial,5
Cluster Logic Inc,Commercial,5
Hewlett Packard Enterprise Company,Commercial,5
Carlos Paz Television SA,Commercial,5
Hero MotoCorp Ltd,Commercial,5
Cypress Fairbanks ISD,Commercial,5
Eastern University,Education,5
University of Nebraska-Lincoln,Education,5
University of Surrey,Education,5
University of Texas at Austin,Education,4
Rheinische Friedrich-Wilhelms-Universitaet Bonn,Education,4
University of Pittsburgh,Education,4
Delft University of Technology Network,Education,4
Temple University,Education,4
University of Sheffield,Education,4
Texas A&M University,Education,4
George Mason University,Education,4
Cornell University,Education,4
University of Kansas,Education,4
Drexel University,Education,4
Concordia University,Education,4
University of Missouri - DBA the Missouri Research and Education Network,Education,4
University of Chicago,Education,4
University of New South Wales,Education,4
The George Washington University,Education,4
The University of Memphis,Education,4
North Carolina Research and Education Network,Education,4
Rutgers University,Education,4
Oberlin College,Education,4
University of Rhode Island,Education,4
Universitaet Mannheim,Education,4
University of Newcastle upon Tyne,Education,4
Bank of America,Commercial,4
Syracuse University,Education,4
University of Guelph,Education,4
University of Delaware,Education,4
University of Tennessee,Education,4
Goldsmiths University of London,Education,4
Northwest Ohio Area Computer Services Cooperative,Organization,4
City of Philadelphia,Government,4
North Carolina State University,Education,4
Research Network University of Ghent,Education,4
University of Hawaii,Education,4
Consorci de Serveis Universitaris de Catalunya,Education,4
Bryant University,Education,4
Bowdoin College,Education,4
Lincoln Public Schools,Education,4
Reed College,Education,4
University of Northumbria at Newcastle,Education,4
Sungkyunkwan University,Education,4
Carleton College,Education,4
Johann Wolfgang Goethe-Universitaet Frankfurt,Education,4
Universitaet Stuttgart,Education,4
McMaster University,Education,4
Freie Universitaet Berlin,Education,4
"St. John's College",Education,4
Santa Clara University,Education,4
University of Wisconsin - Stout,Education,4
University of Cincinnati,Education,4
University of Utah,Education,4
Old Dominion University,Education,4
Starbucks Coffee Company,Commercial,4
CIS,Commercial,4
University of Bristol,Education,4
Colorado College,Education,4
Royal Melbourne Institute of Technology,Education,4
Maebashi Institute of Technology,Organization,4
Chulal,Education,4
Colby College,Education,4
Anna University Chennai,Education,4
Karlsruhe Institute of Technology,Education,4
Universite de Savoie,Education,4
Routit,Commercial,4
Uxbridge College,Education,4
Stiftelsen Chalmers Studenthem,Commercial,4
Wayne County Regional EducationalService Agency,Education,4
Embry-Riddle Aeronautical University - Daytona Beach,Education,4
"Xi'an JiaoTong University",Education,4
CNRST,Commercial,4
Koc Universitesi - NCC,Education,4
Yellow Transportation Inc.,Commercial,4
Bezek,Commercial,4
Bandanet Comercio e Informat Ica Ltda - EPP,Commercial,4
SC GMB Computers SRL,Commercial,4
Genessee Community College,Education,4
Companhia Nacional de Abastecimento,Government,4
Route,Commercial,4
Westfaelische Wilhelms-Universitaet Ziv,Education,4
Fondation RESTENA,Organization,4
Leuphana Universitaet Lueneburg,Education,4
Friedrich Schiller Universitaet Jena,Education,4
Kviknet.dk ApS,Commercial,4
SSHN - Telemann Nijmegen,Commercial,4
GWDG,Education,4
Shenzhen Esin Technology Co. Ltd,Commercial,4
Frederick County Public Schools,Education,4
RSAWEB (Pty) Ltd,Commercial,4
Zhejiang College of Shanghai University of Finance and Economics,Education,4
Funpar - Fundacao da UFPR Para O DCTC,Education,4
Dublin City University,Education,4
Williams College,Education,4
Technische Universitaet Ilmenau,Education,4
Rmit International University Vietnam,Education,4
Openwave Messaging,Commercial,4
Rensselaer Hartford Graduate Center Inc.,Education,4
Vetenskapsradet / SUNET,Education,4
HEAnet,Education,4
Middletown City School District,Education,4
Indiana University,Education,4
Portland Public Schools,Education,4
University College London,Education,3
Texas A&M University Corpus Christi,Education,3
University of Minnesota,Education,3
Technische Universitaet Dresden,Education,3
Virginia Polytechnic Institute and State Univ.,Education,3
Northern Arizona University,Education,3
JPMorgan Chase & Co.,Commercial,3
McGill University,Education,3
